,Year,Agriculture,Revenue,Debts,Imports,Exports,Tourism
0,1960,99.56,967862.0,46585.7,421.3,377.2,392250.0
1,1961,99.56,967862.0,46585.7,376.7,358.5,392250.0
2,1962,99.56,967862.0,46585.7,400.3,370.2,392250.0
3,1963,99.56,967862.0,46585.7,392.5,358.7,392250.0
4,1964,99.56,967862.0,46585.7,411.6,371.1,392250.0
5,1965,99.56,967862.0,46585.7,403.6,400.9,392250.0
6,1966,99.56,967862.0,46585.7,423.8,351.5,392250.0
7,1967,99.56,967862.0,46585.7,408.4,339.4,392250.0
8,1968,99.56,967862.0,46585.7,395.8,332.0,392250.0
9,1969,99.56,967862.0,46585.7,446.1,320.7,392250.0
10,1970,99.56,967862.0,46585.7,391.8,338.7,46247.0
11,1971,99.56,967862.0,46585.7,373.7,325.4,39654.0
12,1972,99.56,967862.0,46585.7,360.6,317.9,56047.0
13,1973,99.56,967862.0,46585.7,412.9,366.4,77888.0
14,1974,99.56,967862.0,46585.7,701.1,511.2,85011.0
15,1975,99.56,967862.0,46585.7,767.3,563.4,103204.0
16,1976,99.56,967862.0,46585.7,643.1,558.8,118971.0
17,1977,99.56,967862.0,46585.7,726.2,767.1,153665.0
18,1978,99.56,967862.0,46585.7,1025.4,845.1,192592.0
19,1979,99.56,967862.0,46585.7,1449.4,981.4,250164.0
20,1980,99.56,967862.0,46585.7,2051.2,1064.7,316780.0
21,1981,99.56,967862.0,46585.7,1876.9,1065.5,370742.0
22,1982,99.56,967862.0,46585.7,1994.1,1013.7,407230.0
23,1983,99.56,967862.0,46585.7,1921.3,1064.1,337530.0
24,1984,99.56,967862.0,46585.7,1928.1,1462.3,317734.0
25,1985,99.56,967862.0,46585.7,2044.3,1315.3,257456.0
26,1986,99.56,967862.0,46585.7,1973.2,1209.7,230106.0
27,1987,99.56,967862.0,46585.7,2075.1,1395.7,182620.0
28,1988,99.56,967862.0,46585.7,2240.2,1477.2,182662.0
29,1989,99.56,967862.0,46585.7,2226.5,1547.1,184732.0
30,1990,99.56,967862.0,46585.7,2686.4,1983.9,297888.0
31,1991,99.56,967862.0,46585.7,3036.6,2039.5,317703.0
32,1992,99.56,967862.0,46585.7,3505.4,2460.8,393669.0
33,1993,99.56,967862.0,46585.7,4011.3,2863.7,392250.0
34,1994,99.56,967862.0,46585.7,4767.3,3208.6,407511.0
35,1995,99.56,967862.0,46585.7,5311.1,3806.6,403101.0
36,1996,99.56,967862.0,46585.7,5438.8,4095.1,302265.0
37,1997,77.06,967862.0,46585.7,5863.8,4639.0,366165.0
38,1998,79.94,967862.0,46585.7,5889.5,4797.8,381063.0
39,1999,82.28,967862.0,46585.7,5979.3,4610.1,436440.0
40,2000,85.19,211282.0,46585.7,7319.8,5522.3,400414.0
41,2001,81.6,234296.0,46585.7,5974.4,4816.9,336794.0
42,2002,81.13,261888.0,46585.7,6105.6,4699.0,393171.0
43,2003,83.87,276465.0,46585.7,6671.9,5133.3,500642.0
44,2004,83.73,311473.0,46585.7,7999.8,5757.2,566202.0
45,2005,82.08,379746.0,46585.7,8863.2,6346.7,549308.0
46,2006,88.51,477833.0,46585.7,10253.0,6882.7,559603.0
47,2007,92.48,565051.0,46585.7,11296.5,7640.0,494008.0
48,2008,99.25,655259.0,46585.7,14091.2,8110.6,438475.0
49,2009,99.56,699644.0,46585.7,10206.6,7084.5,447890.0
50,2010,108.71,817279.0,46585.7,13450.9,8625.8,654476.0
51,2011,111.11,967862.0,46585.7,20268.8,10558.8,855975.0
52,2012,116.82,1051460.0,37098.1,19190.2,9773.5,1005605.0
53,2013,121.87,1137447.0,39905.3,18002.8,10394.3,1274593.0
54,2014,119.88,1195206.0,42914.1,19416.8,11130.1,1527153.0
55,2015,127.57,1454878.0,44839.4,18934.6,10546.5,1798380.0
56,2016,127.2,1804250.0,46585.7,19400.1,10309.7,2050832.0
57,2017,113.6,1955073.0,51603.94,20979.8,11360.4,2116407.0
58,2018,125.8,2047257.0,52411.81,22232.72,11889.63,2333796.0
59,2019,129.0,2026443.0,54811.5,19937.08,11940.01,1913702.0
60,2020,129.4,1469928.0,49211.62,2463.3,1765.5,507704.0
61,2021,133.3,1561390.0,46585.7,2463.3,1765.5,194495.0
62,2022,99.56,2052977.0,46585.7,2463.3,1765.5,719978.0
63,2023,99.56,967862.0,46585.7,2463.3,1765.5,392250.0
